DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEN00126(1.0),16/12/24 23:00:00,Annual,Final consumption - transport sector - energy use,Electricity,Thousand tonnes of oil equivalent,Spain,2015,342.046,
ESTAT:TEN00126(1.0),16/12/24 23:00:00,Annual,Final consumption - transport sector - energy use,Electricity,Thousand tonnes of oil equivalent,Spain,2016,335.512,
ESTAT:TEN00126(1.0),16/12/24 23:00:00,Annual,Final consumption - transport sector - energy use,Electricity,Thousand tonnes of oil equivalent,Spain,2017,342.820,
ESTAT:TEN00126(1.0),16/12/24 23:00:00,Annual,Final consumption - transport sector - energy use,Electricity,Thousand tonnes of oil equivalent,Spain,2018,347.893,
ESTAT:TEN00126(1.0),16/12/24 23:00:00,Annual,Final consumption - transport sector - energy use,Electricity,Thousand tonnes of oil equivalent,Spain,2019,338.521,
ESTAT:TEN00126(1.0),16/12/24 23:00:00,Annual,Final consumption - transport sector - energy use,Electricity,Thousand tonnes of oil equivalent,Spain,2020,286.758,
ESTAT:TEN00126(1.0),16/12/24 23:00:00,Annual,Final consumption - transport sector - energy use,Electricity,Thousand tonnes of oil equivalent,Spain,2021,314.875,
ESTAT:TEN00126(1.0),16/12/24 23:00:00,Annual,Final consumption - transport sector - energy use,Electricity,Thousand tonnes of oil equivalent,Spain,2022,342.218,
ESTAT:TEN00126(1.0),16/12/24 23:00:00,Annual,Final consumption - transport sector - energy use,Electricity,Thousand tonnes of oil equivalent,Spain,2023,370.994,
ESTAT:TEN00126(1.0),16/12/24 23:00:00,Annual,Final consumption - transport sector - energy use,Electricity,Thousand tonnes of oil equivalent,Finland,2014,62.253,
ESTAT:TEN00126(1.0),16/12/24 23:00:00,Annual,Final consumption - transport sector - energy use,Electricity,Thousand tonnes of oil equivalent,Finland,2015,60.705,
ESTAT:TEN00126(1.0),16/12/24 23:00:00,Annual,Final consumption - transport sector - energy use,Electricity,Thousand tonnes of oil equivalent,Finland,2016,60.877,
