,vehicle,country,year,zero_emission_vehicles_percentage
225,"Buses, motor coaches, and trolley buses",Portugal,2019,4.775
226,"Buses, motor coaches, and trolley buses",Portugal,2020,5.387
227,"Buses, motor coaches, and trolley buses",Portugal,2021,5.68
228,"Buses, motor coaches, and trolley buses",Portugal,2022,4.241
229,"Buses, motor coaches, and trolley buses",Portugal,2023,38.755
230,"Buses, motor coaches, and trolley buses",Romania,2014,0.0
231,"Buses, motor coaches, and trolley buses",Romania,2015,0.081
232,"Buses, motor coaches, and trolley buses",Romania,2016,0.448
233,"Buses, motor coaches, and trolley buses",Romania,2017,0.194
234,"Buses, motor coaches, and trolley buses",Romania,2018,0.831
235,"Buses, motor coaches, and trolley buses",Romania,2019,2.816
236,"Buses, motor coaches, and trolley buses",Romania,2020,29.67
237,"Buses, motor coaches, and trolley buses",Romania,2021,13.389
238,"Buses, motor coaches, and trolley buses",Romania,2022,20.232
239,"Buses, motor coaches, and trolley buses",Romania,2023,23.288
240,"Buses, motor coaches, and trolley buses",Sweden,2014,0.282
241,"Buses, motor coaches, and trolley buses",Sweden,2015,0.702
242,"Buses, motor coaches, and trolley buses",Sweden,2016,1.374
243,"Buses, motor coaches, and trolley buses",Sweden,2017,1.165
244,"Buses, motor coaches, and trolley buses",Sweden,2018,4.685
245,"Buses, motor coaches, and trolley buses",Sweden,2019,11.588
246,"Buses, motor coaches, and trolley buses",Sweden,2020,9.77
247,"Buses, motor coaches, and trolley buses",Sweden,2021,24.367
248,"Buses, motor coaches, and trolley buses",Sweden,2022,20.616
249,"Buses, motor coaches, and trolley buses",Sweden,2023,27.384
250,"Buses, motor coaches, and trolley buses",Slovenia,2014,0.0
251,"Buses, motor coaches, and trolley buses",Slovenia,2015,0.0
252,"Buses, motor coaches, and trolley buses",Slovenia,2016,0.0
253,"Buses, motor coaches, and trolley buses",Slovenia,2017,0.0
254,"Buses, motor coaches, and trolley buses",Slovenia,2018,1.104
255,"Buses, motor coaches, and trolley buses",Slovenia,2019,2.564
256,"Buses, motor coaches, and trolley buses",Slovenia,2020,4.687
257,"Buses, motor coaches, and trolley buses",Slovenia,2021,0.0
258,"Buses, motor coaches, and trolley buses",Slovenia,2022,2.013
259,"Buses, motor coaches, and trolley buses",Slovenia,2023,12.244
260,"Buses, motor coaches, and trolley buses",Slovakia,2014,0.0
261,"Buses, motor coaches, and trolley buses",Slovakia,2015,0.0
262,"Buses, motor coaches, and trolley buses",Slovakia,2016,2.445
263,"Buses, motor coaches, and trolley buses",Slovakia,2017,1.496
264,"Buses, motor coaches, and trolley buses",Slovakia,2018,5.056
265,"Buses, motor coaches, and trolley buses",Slovakia,2019,0.0
266,"Buses, motor coaches, and trolley buses",Slovakia,2020,0.336
267,"Buses, motor coaches, and trolley buses",Slovakia,2021,0.187
268,"Buses, motor coaches, and trolley buses",Slovakia,2022,0.246
269,"Buses, motor coaches, and trolley buses",Slovakia,2023,5.548
270,Passenger cars,Austria,2014,0.423
271,Passenger cars,Austria,2015,0.546
272,Passenger cars,Austria,2016,1.162
273,Passenger cars,Austria,2017,1.537
274,Passenger cars,Austria,2018,1.983
275,Passenger cars,Austria,2019,2.811
276,Passenger cars,Austria,2020,6.426
277,Passenger cars,Austria,2021,13.919
278,Passenger cars,Austria,2022,15.893
279,Passenger cars,Austria,2023,19.916
280,Passenger cars,Belgium,2014,0.239
281,Passenger cars,Belgium,2015,0.268
282,Passenger cars,Belgium,2016,0.377
283,Passenger cars,Belgium,2017,0.49
284,Passenger cars,Belgium,2018,0.674
285,Passenger cars,Belgium,2019,1.594
286,Passenger cars,Belgium,2020,3.427
287,Passenger cars,Belgium,2021,5.798
288,Passenger cars,Belgium,2022,10.08
289,Passenger cars,Belgium,2023,19.289
290,Passenger cars,Bulgaria,2014,0.0
291,Passenger cars,Bulgaria,2015,0.057
292,Passenger cars,Bulgaria,2016,0.053
293,Passenger cars,Bulgaria,2017,0.05
294,Passenger cars,Bulgaria,2018,0.507
295,Passenger cars,Bulgaria,2019,0.571
296,Passenger cars,Bulgaria,2020,1.355
297,Passenger cars,Bulgaria,2021,2.247
298,Passenger cars,Bulgaria,2022,3.573
299,Passenger cars,Bulgaria,2023,4.682
300,Passenger cars,Cyprus,2014,0.012
301,Passenger cars,Cyprus,2015,0.039
302,Passenger cars,Cyprus,2016,0.056
303,Passenger cars,Cyprus,2017,0.137
304,Passenger cars,Cyprus,2018,0.038
305,Passenger cars,Cyprus,2019,0.46
306,Passenger cars,Cyprus,2020,0.41
307,Passenger cars,Cyprus,2021,0.735
308,Passenger cars,Cyprus,2022,3.463
309,Passenger cars,Cyprus,2023,5.383
310,Passenger cars,Czechia,2014,0.03
311,Passenger cars,Czechia,2015,0.135
312,Passenger cars,Czechia,2016,0.081
313,Passenger cars,Czechia,2017,0.139
314,Passenger cars,Czechia,2018,0.281
315,Passenger cars,Czechia,2019,0.314
316,Passenger cars,Czechia,2020,1.646
317,Passenger cars,Czechia,2021,1.548
318,Passenger cars,Czechia,2022,2.132
319,Passenger cars,Czechia,2023,3.095
320,Passenger cars,Germany,2014,0.28
321,Passenger cars,Germany,2015,0.387
322,Passenger cars,Germany,2016,0.348
323,Passenger cars,Germany,2017,0.731
324,Passenger cars,Germany,2018,1.054
325,Passenger cars,Germany,2019,1.76
326,Passenger cars,Germany,2020,6.665
327,Passenger cars,Germany,2021,13.593
328,Passenger cars,Germany,2022,17.779
329,Passenger cars,Germany,2023,18.437
330,Passenger cars,Denmark,2014,0.83
331,Passenger cars,Denmark,2015,0.618
332,Passenger cars,Denmark,2016,0.574
333,Passenger cars,Denmark,2017,0.318
334,Passenger cars,Denmark,2018,0.709
335,Passenger cars,Denmark,2019,2.441
336,Passenger cars,Denmark,2020,7.168
337,Passenger cars,Denmark,2021,13.371
338,Passenger cars,Denmark,2022,20.635
339,Passenger cars,Denmark,2023,36.096
