,source,target,value,year
688,12,29,0.24,2022
689,12,21,0.1,2022
690,12,19,5.48,2022
691,12,22,4.36,2022
692,12,20,1.7,2022
693,12,24,,2022
694,12,25,8.4,2022
695,12,27,0.0,2022
696,12,28,4.43,2022
697,12,26,0.0,2022
698,12,23,0.29,2022
699,12,29,0.23,2023
700,12,21,0.1,2023
701,12,19,5.32,2023
702,12,22,3.87,2023
703,12,20,1.63,2023
704,12,24,,2023
705,12,25,7.96,2023
706,12,27,0.0,2023
707,12,28,4.52,2023
708,12,26,0.0,2023
709,12,23,0.24,2023
710,11,29,0.49,2014
711,11,21,0.18,2014
712,11,19,6.92,2014
713,11,22,8.34,2014
714,11,20,0.49,2014
715,11,24,,2014
716,11,25,13.21,2014
717,11,27,0.0,2014
718,11,28,1.74,2014
719,11,26,0.0,2014
720,11,23,0.18,2014
721,11,29,0.51,2015
722,11,21,0.16,2015
723,11,19,6.97,2015
724,11,22,8.95,2015
725,11,20,0.49,2015
726,11,24,,2015
727,11,25,14.19,2015
728,11,27,0.0,2015
729,11,28,1.69,2015
730,11,26,0.0,2015
731,11,23,0.17,2015
732,11,29,0.49,2016
733,11,21,0.16,2016
734,11,19,7.0,2016
735,11,22,9.32,2016
736,11,20,0.47,2016
737,11,24,,2016
738,11,25,13.82,2016
739,11,27,0.0,2016
740,11,28,1.96,2016
741,11,26,0.0,2016
742,11,23,0.17,2016
743,11,29,0.48,2017
744,11,21,0.17,2017
745,11,19,6.99,2017
746,11,22,9.46,2017
747,11,20,0.39,2017
748,11,24,,2017
749,11,25,13.33,2017
750,11,27,0.0,2017
751,11,28,1.97,2017
752,11,26,0.0,2017
753,11,23,0.13,2017
754,11,29,0.49,2018
755,11,21,0.17,2018
756,11,19,7.04,2018
757,11,22,9.53,2018
758,11,20,0.43,2018
759,11,24,,2018
760,11,25,13.35,2018
761,11,27,0.0,2018
762,11,28,1.99,2018
763,11,26,0.0,2018
764,11,23,0.15,2018
765,11,29,0.47,2019
766,11,21,0.15,2019
767,11,19,6.94,2019
768,11,22,9.47,2019
769,11,20,0.45,2019
770,11,24,,2019
771,11,25,12.81,2019
772,11,27,0.0,2019
773,11,28,1.97,2019
774,11,26,0.0,2019
775,11,23,0.16,2019
776,11,29,0.38,2020
777,11,21,0.14,2020
778,11,19,6.72,2020
779,11,22,9.08,2020
780,11,20,0.44,2020
781,11,24,,2020
782,11,25,11.83,2020
783,11,27,0.0,2020
784,11,28,2.13,2020
785,11,26,0.0,2020
786,11,23,0.15,2020
787,10,29,0.41,2021
788,10,21,0.18,2021
789,10,19,6.87,2021
790,10,22,10.15,2021
791,10,20,0.46,2021
792,10,24,,2021
793,10,25,12.37,2021
794,10,27,0.0,2021
795,10,28,2.45,2021
796,10,26,0.0,2021
797,10,23,0.15,2021
798,10,29,0.33,2022
799,10,21,0.15,2022
800,10,19,6.55,2022
801,10,22,8.32,2022
802,10,20,0.4,2022
803,10,24,,2022
804,10,25,12.0,2022
805,10,27,0.0,2022
806,10,28,2.48,2022
807,10,26,0.0,2022
808,10,23,0.15,2022
809,11,29,0.28,2023
810,11,21,0.16,2023
811,11,19,6.36,2023
812,11,22,8.12,2023
813,11,20,0.34,2023
814,11,24,,2023
815,11,25,11.91,2023
816,11,27,0.0,2023
817,11,28,2.52,2023
818,11,26,0.0,2023
819,11,23,0.14,2023
820,15,29,1.6,2014
821,15,21,0.32,2014
822,15,19,4.58,2014
823,15,22,4.81,2014
824,15,20,2.01,2014
825,15,24,,2014
826,15,25,6.15,2014
827,15,27,0.0,2014
828,15,28,2.78,2014
829,15,26,0.0,2014
830,15,23,0.2,2014
831,14,29,1.57,2015
832,14,21,0.31,2015
833,14,19,4.68,2015
834,14,22,5.02,2015
835,14,20,2.03,2015
836,14,24,,2015
837,14,25,6.42,2015
838,14,27,0.0,2015
839,14,28,2.83,2015
840,14,26,0.0,2015
841,14,23,0.22,2015
842,14,29,1.56,2016
843,14,21,0.3,2016
844,14,19,4.8,2016
845,14,22,5.28,2016
846,14,20,2.11,2016
847,14,24,,2016
848,14,25,6.48,2016
849,14,27,0.0,2016
850,14,28,2.91,2016
851,14,26,0.0,2016
852,14,23,0.25,2016
853,14,29,1.75,2017
854,14,21,0.28,2017
855,14,19,4.94,2017
856,14,22,5.53,2017
857,14,20,2.14,2017
858,14,24,,2017
859,14,25,6.63,2017
860,14,27,0.0,2017
861,14,28,2.93,2017
862,14,26,0.0,2017
863,14,23,0.24,2017
864,15,29,1.66,2018
865,15,21,0.32,2018
866,15,19,5.0,2018
867,15,22,5.17,2018
868,15,20,2.07,2018
869,15,24,,2018
870,15,25,6.7,2018
871,15,27,0.0,2018
872,15,28,3.0,2018
873,15,26,0.0,2018
874,15,23,0.28,2018
875,15,29,1.44,2019
876,15,21,0.27,2019
877,15,19,5.02,2019
878,15,22,5.19,2019
879,15,20,2.03,2019
880,15,24,,2019
881,15,25,6.75,2019
882,15,27,0.0,2019
883,15,28,3.24,2019
884,15,26,0.0,2019
885,15,23,0.3,2019
886,14,29,1.41,2020
887,14,21,0.27,2020
888,14,19,4.91,2020
889,14,22,5.16,2020
890,14,20,1.98,2020
891,14,24,,2020
892,14,25,6.36,2020
893,14,27,0.0,2020
894,14,28,3.38,2020
895,14,26,0.0,2020
896,14,23,0.3,2020
897,13,29,1.43,2021
898,13,21,0.31,2021
899,13,19,5.16,2021
900,13,22,5.5,2021
901,13,20,2.15,2021
902,13,24,,2021
903,13,25,6.79,2021
904,13,27,0.0,2021
905,13,28,3.65,2021
906,13,26,0.0,2021
907,13,23,0.3,2021
908,13,29,1.39,2022
909,13,21,0.27,2022
910,13,19,4.98,2022
911,13,22,4.72,2022
912,13,20,1.97,2022
913,13,24,,2022
914,13,25,6.94,2022
915,13,27,0.0,2022
916,13,28,3.58,2022
917,13,26,0.0,2022
918,13,23,0.29,2022
919,14,29,1.1,2023
920,14,21,0.19,2023
921,14,19,4.79,2023
922,14,22,4.21,2023
923,14,20,1.73,2023
924,14,24,,2023
925,14,25,7.11,2023
926,14,27,0.0,2023
927,14,28,3.38,2023
928,14,26,0.0,2023
929,14,23,0.23,2023
930,4,29,4.08,2014
931,4,21,2.33,2014
932,4,19,44.0,2014
933,4,22,47.43,2014
934,4,20,9.15,2014
935,4,24,,2014
936,4,25,73.69,2014
937,4,27,0.0,2014
938,4,28,15.53,2014
939,4,26,0.0,2014
940,4,23,1.02,2014
941,4,29,4.75,2015
942,4,21,2.46,2015
943,4,19,44.28,2015
944,4,22,49.3,2015
945,4,20,9.59,2015
946,4,24,,2015
947,4,25,73.04,2015
948,4,27,0.0,2015
949,4,28,15.58,2015
950,4,26,0.0,2015
951,4,23,1.03,2015
952,4,29,4.63,2016
953,4,21,2.23,2016
954,4,19,44.5,2016
955,4,22,52.42,2016
956,4,20,9.78,2016
957,4,24,,2016
958,4,25,73.58,2016
959,4,27,0.0,2016
960,4,28,15.39,2016
961,4,26,0.0,2016
962,4,23,1.13,2016
963,4,29,4.55,2017
964,4,21,2.19,2017
965,4,19,44.62,2017
966,4,22,52.77,2017
967,4,20,9.81,2017
968,4,24,,2017
969,4,25,73.66,2017
970,4,27,0.0,2017
971,4,28,15.78,2017
972,4,26,0.0,2017
973,4,23,1.13,2017
974,4,29,3.76,2018
975,4,21,2.49,2018
976,4,19,43.8,2018
977,4,22,53.2,2018
978,4,20,9.57,2018
979,4,24,,2018
980,4,25,70.16,2018
981,4,27,0.0,2018
982,4,28,16.46,2018
983,4,26,0.0,2018
984,4,23,1.24,2018
985,4,29,3.42,2019
986,4,21,2.32,2019
987,4,19,42.69,2019
988,4,22,52.36,2019
989,4,20,9.64,2019
990,4,24,,2019
991,4,25,72.45,2019
992,4,27,0.0,2019
993,4,28,16.65,2019
994,4,26,0.0,2019
995,4,23,1.27,2019
996,4,29,3.58,2020
997,4,21,2.14,2020
998,4,19,41.46,2020
999,4,22,52.06,2020
1000,4,20,8.94,2020
1001,4,24,,2020
1002,4,25,67.6,2020
1003,4,27,0.0,2020
1004,4,28,17.16,2020
1005,4,26,0.0,2020
1006,4,23,1.3,2020
1007,4,29,3.18,2021
1008,4,21,2.12,2021
1009,4,19,42.97,2021
1010,4,22,57.15,2021
1011,4,20,9.83,2021
1012,4,24,,2021
1013,4,25,63.03,2021
1014,4,27,0.0,2021
1015,4,28,17.99,2021
1016,4,26,0.0,2021
1017,4,23,1.29,2021
1018,4,29,3.6,2022
1019,4,21,2.15,2022
1020,4,19,41.03,2022
1021,4,22,49.72,2022
1022,4,20,8.92,2022
1023,4,24,,2022
1024,4,25,64.19,2022
1025,4,27,0.0,2022
1026,4,28,18.86,2022
1027,4,26,0.0,2022
1028,4,23,1.24,2022
1029,4,29,3.12,2023
1030,4,21,2.32,2023
1031,4,19,39.0,2023
1032,4,22,46.48,2023
1033,4,20,8.51,2023
1034,4,24,,2023
1035,4,25,61.59,2023
1036,4,27,0.0,2023
1037,4,28,17.49,2023
1038,4,26,0.0,2023
1039,4,23,1.21,2023
1040,18,29,0.22,2015
1041,18,21,0.0,2015
1042,18,19,4.37,2015
1043,18,22,0.97,2015
1044,18,20,0.05,2015
1045,18,24,,2015
1046,18,25,8.57,2015
1047,18,27,0.0,2015
1048,18,28,1.5,2015
1049,18,26,0.0,2015
1050,18,23,0.06,2015
1051,18,29,0.2,2016
1052,18,21,0.0,2016
1053,18,19,4.59,2016
1054,18,22,1.05,2016
1055,18,20,0.04,2016
1056,18,24,,2016
1057,18,25,8.62,2016
1058,18,27,0.0,2016
1059,18,28,1.35,2016
1060,18,26,0.0,2016
1061,18,23,0.03,2016
1062,18,29,0.18,2021
1063,18,21,0.0,2021
1064,18,19,4.23,2021
1065,18,22,1.18,2021
1066,18,20,0.04,2021
1067,18,24,,2021
1068,18,25,7.45,2021
1069,18,27,0.0,2021
1070,18,28,1.83,2021
1071,18,26,0.0,2021
1072,18,23,0.0,2021
1073,18,29,0.07,2022
1074,18,21,0.0,2022
1075,18,19,4.14,2022
1076,18,22,1.18,2022
1077,18,20,0.03,2022
